station,magnitud,year,month,day,hour,value,validity,magnitude_id,sequence_id,origin_writer_id,publish_ts_ns,received_at
11,12,2026,2,21,1,142,V,12,1,pub-mag12,1778575562717692177,2026-05-12T08:46:02Z
11,12,2026,2,21,2,38,V,12,2,pub-mag12,1778575562893139179,2026-05-12T08:46:02Z
11,12,2026,2,21,3,13,V,12,3,pub-mag12,1778575563070453185,2026-05-12T08:46:03Z
11,12,2026,2,21,4,15,V,12,4,pub-mag12,1778575563248138983,2026-05-12T08:46:03Z
11,12,2026,2,21,5,15,V,12,5,pub-mag12,1778575563424678782,2026-05-12T08:46:03Z
35,6,2026,2,21,1,0.8,V,6,1,pub-mag06,1778575563525952799,2026-05-12T08:46:03Z
11,12,2026,2,21,6,10,V,12,6,pub-mag12,1778575563600530577,2026-05-12T08:46:03Z
35,6,2026,2,21,2,0.7,V,6,2,pub-mag06,1778575563681786809,2026-05-12T08:46:03Z
11,12,2026,2,21,7,15,V,12,7,pub-mag12,1778575563775965837,2026-05-12T08:46:03Z
35,6,2026,2,21,3,0.5,V,6,3,pub-mag06,1778575563837373328,2026-05-12T08:46:03Z
11,12,2026,2,21,8,16,V,12,8,pub-mag12,1778575563951557773,2026-05-12T08:46:03Z
35,6,2026,2,21,4,0.5,V,6,4,pub-mag06,1778575564031001773,2026-05-12T08:46:04Z
11,12,2026,2,21,9,17,V,12,9,pub-mag12,1778575564127543444,2026-05-12T08:46:04Z
35,6,2026,2,21,5,0.4,V,6,5,pub-mag06,1778575564186693562,2026-05-12T08:46:04Z
11,12,2026,2,21,10,21,V,12,10,pub-mag12,1778575564303640879,2026-05-12T08:46:04Z
35,6,2026,2,21,6,0.4,V,6,6,pub-mag06,1778575564342407557,2026-05-12T08:46:04Z
11,12,2026,2,21,11,36,V,12,11,pub-mag12,1778575564479455273,2026-05-12T08:46:04Z
35,6,2026,2,21,7,0.3,V,6,7,pub-mag06,1778575564498347440,2026-05-12T08:46:04Z
35,1,2026,2,21,1,1,V,1,1,pub-mag01,1778575564611643909,2026-05-12T08:46:04Z
